package_path,package_display_name,package_revision,archive_url,archive_size,archive_checksum
platforms;android-Baklava,Android SDK Platform Baklava-ext19,1,https://maven.myket.ir/android-sdk/platform-36.0-Baklava-ext19_r01.zip,66332697,7842268e95c0538a9d59ab813f39a5ee69bdbb86
platforms;android-36,Android SDK Platform 36-ext19,1,https://maven.myket.ir/android-sdk/platform-36-ext19_r01.zip,66057671,52e240c229cf2ad561ee262ebdfff266e180c585
platforms;android-36,Android SDK Platform 36-ext18,1,https://maven.myket.ir/android-sdk/platform-36-ext18_r01.zip,66044874,33a7af9f531f6ce67b3ec357f619e69aa0a95c8a
platforms;android-35,Android SDK Platform 35-ext15,1,https://maven.myket.ir/android-sdk/platform-35-ext15_r01.zip,64492044,ce757091f933b7ac646bf197ce8957cc73b95614
platforms;android-36,Android SDK Platform 36,2,https://maven.myket.ir/android-sdk/platform-36_r02.zip,65878410,2c1a80dd4d9f7d0e6dd336ec603d9b5c55a6f576
platforms;android-35,Android SDK Platform 35-ext14,1,https://maven.myket.ir/android-sdk/platform-35-ext14_r01.zip,64330898,c0e5b5511562fc8b8a61b3b3f17f6ffa811e4971
platforms;android-35,Android SDK Platform 35,2,https://maven.myket.ir/android-sdk/platform-35_r02.zip,64273788,0bb560a90a7a2cbd0dd8348224d518b638fe7949
platforms;android-34,Android SDK Platform 34-ext12,1,https://maven.myket.ir/android-sdk/platform-34-ext12_r01.zip,63559957,ba80ccbcc29b29f25ac926a08c0b2777f0bce842
platforms;android-34,Android SDK Platform 34-ext11,1,https://maven.myket.ir/android-sdk/platform-34-ext11_r01.zip,63446827,dfb498e3d0d97769aef5e1eb9ddff5b001e65829
platforms;android-34,Android SDK Platform 34-ext10,1,https://maven.myket.ir/android-sdk/platform-34-ext10_r01.zip,63393972,068496419fb4f4987374fdb2989d4f13acc62377
platforms;android-34,Android SDK Platform 34-ext8,1,https://maven.myket.ir/android-sdk/platform-34-ext8_r01.zip,63201407,71877402d579127b19158f9f170f05bcd805f686
platforms;android-34,Android SDK Platform 34,3,https://maven.myket.ir/android-sdk/platform-34-ext7_r03.zip,63180081,1f2e9478d6a7601425ceaa553311dc43191f103d
platforms;android-34,Android SDK Platform 34,2,https://maven.myket.ir/android-sdk/platform-34-ext7_r02.zip,63180079,f09b07da8aea238a81b71d6fedb815e13aa13e58
platforms;android-UpsideDownCake,Android SDK Platform UpsideDownCake,4,https://maven.myket.ir/android-sdk/platform-UpsideDownCake_r04.zip,63483782,a0fe6b17b8ea26c72f4a1feb0234aab6b20fd4be
platforms;android-33,Android SDK Platform 33-ext5,1,https://maven.myket.ir/android-sdk/platform-33-ext5_r01.zip,67581187,a6499e158fdd7140e3e466314b273016281fefcc
platforms;android-33,Android SDK Platform 33-ext4,1,https://maven.myket.ir/android-sdk/platform-33-ext4_r01.zip,67564453,422f50033523c5f934f38df520699080b59bbc7e
platforms;android-33,Android SDK Platform 33,3,https://maven.myket.ir/android-sdk/platform-33-ext3_r03.zip,67334237,394bc86d8d3452aa4d419b67743025a6fb2cd9d0
